Q1_Age,Q2_Gender,Q3_Education,Q4_LifeSatisfaction,Q5_CarOwnership,Q6_IncomeLevel,Q7_Employed,Q8_MaritalStatus,Q9_HomeOwner,Q10_HoursWorkedPerWeek,Q11_OE_Neighborhood,Q12_OE_FutureConcerns,Q13_OE_CustomerExperience,Q14_OE_WorkMotivation,Q15_OE_AdditionalComments
24,Other,Tertary,4,No,96587,No,Marrid,Yes,46,i dnt lik dogs barking but shops close by,no money to save fo future,great expiriense at restaurent,"goals keep me going, even when tired",pls fix typos in u r questions
60,Female,Secndary,8,No,85102,No,Widowd,Yes,34,i lik the quite and neghbours,war n unestability,got discount witout askin,my kidss and faimly,thank u for lettin me say
56,Female,Secndary,4,No,12241,Yes,Single,No,58,noice is low and evryone frendly,healthcare getin worse,the ladie at bank was reely helpfull,"goals keep me going, even when tired",pls fix typos in u r questions
23,Female,Tertary,9,No,94000,Yes,Marrid,No,78,i dnt lik dogs barking but shops close by,no money to save fo future,got discount witout askin,just need to suceed,pls fix typos in u r questions
66,Male,Primry,6,No,42264,Yes,Marrid,No,72,green trees n cleen airr,no money to save fo future,i calld support they sloved fast,my kidss and faimly,thank u for lettin me say
45,Female,Tertary,1,No,19831,No,Single,Yes,5,noice is low and evryone frendly,climate chang and job loss,shop asistnt smild n said thankyou,"money, and boss apriciashun",good luck with reserch
51,Female,Tertary,7,Yes,77373,No,Widowd,No,47,noice is low and evryone frendly,i worrie bout kids educasion,shop asistnt smild n said thankyou,"goals keep me going, even when tired",this survery was long
21,Male,Secndary,8,Yes,52887,Yes,Single,Yes,32,i dnt lik dogs barking but shops close by,war n unestability,got discount witout askin,"money, and boss apriciashun",no commnts
42,Female,Primry,10,Yes,18774,No,Single,No,3,green trees n cleen airr,climate chang and job loss,got discount witout askin,"goals keep me going, even when tired",no commnts
21,Female,Primry,4,No,84697,No,Divorced,No,73,noice is low and evryone frendly,healthcare getin worse,got discount witout askin,my kidss and faimly,good luck with reserch
27,Other,Primry,1,No,65972,Yes,Divorced,No,1,noice is low and evryone frendly,war n unestability,i calld support they sloved fast,my kidss and faimly,this survery was long
38,Other,Secndary,10,Yes,82130,No,Widowd,Yes,58,its saf and pecefull,war n unestability,the ladie at bank was reely helpfull,my kidss and faimly,no commnts
61,Other,Primry,2,No,59633,No,Divorced,Yes,69,i lik the quite and neghbours,i worrie bout kids educasion,the ladie at bank was reely helpfull,i lov my job and coworkers,good luck with reserch
57,Male,Primry,4,Yes,59766,No,Divorced,Yes,16,i dnt lik dogs barking but shops close by,war n unestability,i calld support they sloved fast,"goals keep me going, even when tired",pls fix typos in u r questions
21,Female,Secndary,7,No,15103,No,Marrid,Yes,13,i lik the quite and neghbours,war n unestability,the ladie at bank was reely helpfull,"goals keep me going, even when tired",no commnts
55,Male,Primry,9,Yes,93757,No,Divorced,No,41,green trees n cleen airr,i worrie bout kids educasion,the ladie at bank was reely helpfull,"money, and boss apriciashun",good luck with reserch
45,Other,Primry,2,Yes,65419,Yes,Single,No,13,noice is low and evryone frendly,i worrie bout kids educasion,great expiriense at restaurent,i lov my job and coworkers,good luck with reserch
26,Female,Secndary,7,No,69006,No,Widowd,Yes,25,i lik the quite and neghbours,climate chang and job loss,the ladie at bank was reely helpfull,"goals keep me going, even when tired",no commnts
51,Female,Primry,7,Yes,81995,No,Divorced,No,6,i lik the quite and neghbours,i worrie bout kids educasion,the ladie at bank was reely helpfull,"goals keep me going, even when tired",good luck with reserch
25,Other,Secndary,1,No,61134,Yes,Widowd,Yes,77,green trees n cleen airr,i worrie bout kids educasion,got discount witout askin,my kidss and faimly,good luck with reserch
22,Female,Primry,3,Yes,29524,Yes,Marrid,No,24,i dnt lik dogs barking but shops close by,i worrie bout kids educasion,the ladie at bank was reely helpfull,"money, and boss apriciashun",no commnts
62,Other,Primry,5,No,40442,Yes,Single,Yes,42,i lik the quite and neghbours,healthcare getin worse,i calld support they sloved fast,my kidss and faimly,this survery was long
34,Other,Primry,5,No,42629,Yes,Widowd,Yes,70,i lik the quite and neghbours,healthcare getin worse,shop asistnt smild n said thankyou,"money, and boss apriciashun",pls fix typos in u r questions
63,Male,Primry,2,No,62526,No,Single,Yes,54,noice is low and evryone frendly,climate chang and job loss,shop asistnt smild n said thankyou,just need to suceed,thank u for lettin me say
33,Other,Secndary,6,No,19949,No,Widowd,No,67,noice is low and evryone frendly,climate chang and job loss,the ladie at bank was reely helpfull,just need to suceed,no commnts
20,Other,Secndary,8,Yes,44227,Yes,Marrid,No,57,its saf and pecefull,war n unestability,shop asistnt smild n said thankyou,"money, and boss apriciashun",this survery was long
35,Other,Tertary,1,Yes,76785,No,Widowd,Yes,16,i dnt lik dogs barking but shops close by,no money to save fo future,got discount witout askin,"goals keep me going, even when tired",thank u for lettin me say
19,Female,Tertary,4,No,51628,No,Marrid,Yes,40,i dnt lik dogs barking but shops close by,climate chang and job loss,i calld support they sloved fast,my kidss and faimly,thank u for lettin me say
54,Female,Secndary,1,No,93811,No,Single,Yes,46,i lik the quite and neghbours,climate chang and job loss,i calld support they sloved fast,just need to suceed,this survery was long
18,Other,Primry,5,Yes,12007,Yes,Widowd,Yes,40,noice is low and evryone frendly,healthcare getin worse,shop asistnt smild n said thankyou,just need to suceed,good luck with reserch
45,Other,Secndary,7,No,25198,No,Marrid,No,25,i lik the quite and neghbours,war n unestability,the ladie at bank was reely helpfull,"goals keep me going, even when tired",no commnts
44,Female,Primry,1,No,84496,Yes,Marrid,No,67,i lik the quite and neghbours,i worrie bout kids educasion,got discount witout askin,my kidss and faimly,pls fix typos in u r questions
27,Male,Secndary,1,No,69930,Yes,Widowd,No,41,i lik the quite and neghbours,climate chang and job loss,the ladie at bank was reely helpfull,my kidss and faimly,pls fix typos in u r questions
42,Male,Secndary,7,Yes,33533,No,Marrid,No,28,its saf and pecefull,war n unestability,great expiriense at restaurent,"goals keep me going, even when tired",this survery was long
63,Other,Tertary,7,No,98064,Yes,Divorced,No,62,i lik the quite and neghbours,healthcare getin worse,got discount witout askin,just need to suceed,no commnts
32,Male,Secndary,10,No,92864,Yes,Marrid,No,60,green trees n cleen airr,no money to save fo future,shop asistnt smild n said thankyou,i lov my job and coworkers,thank u for lettin me say
60,Other,Secndary,4,Yes,32229,Yes,Divorced,No,43,i lik the quite and neghbours,healthcare getin worse,got discount witout askin,"money, and boss apriciashun",good luck with reserch
45,Male,Primry,6,No,49537,Yes,Widowd,No,47,i lik the quite and neghbours,healthcare getin worse,i calld support they sloved fast,"goals keep me going, even when tired",pls fix typos in u r questions
41,Other,Tertary,4,No,21603,No,Marrid,No,27,green trees n cleen airr,no money to save fo future,the ladie at bank was reely helpfull,i lov my job and coworkers,this survery was long
43,Other,Tertary,4,No,37825,Yes,Divorced,Yes,16,i dnt lik dogs barking but shops close by,healthcare getin worse,got discount witout askin,"goals keep me going, even when tired",thank u for lettin me say
63,Other,Tertary,6,Yes,69146,Yes,Marrid,No,78,noice is low and evryone frendly,i worrie bout kids educasion,got discount witout askin,my kidss and faimly,thank u for lettin me say
25,Other,Primry,5,No,46359,Yes,Single,Yes,30,i dnt lik dogs barking but shops close by,no money to save fo future,got discount witout askin,just need to suceed,this survery was long
40,Female,Secndary,6,Yes,92550,No,Widowd,Yes,48,green trees n cleen airr,no money to save fo future,shop asistnt smild n said thankyou,just need to suceed,no commnts
66,Female,Secndary,10,Yes,35509,Yes,Single,Yes,37,i lik the quite and neghbours,climate chang and job loss,the ladie at bank was reely helpfull,just need to suceed,this survery was long
31,Male,Secndary,7,No,65794,Yes,Widowd,No,28,noice is low and evryone frendly,war n unestability,the ladie at bank was reely helpfull,"money, and boss apriciashun",this survery was long
53,Other,Secndary,2,Yes,23964,No,Marrid,Yes,77,noice is low and evryone frendly,healthcare getin worse,great expiriense at restaurent,"money, and boss apriciashun",good luck with reserch
25,Female,Secndary,5,No,68360,No,Divorced,No,59,i dnt lik dogs barking but shops close by,war n unestability,got discount witout askin,i lov my job and coworkers,good luck with reserch
34,Female,Secndary,4,No,99631,Yes,Divorced,Yes,32,i dnt lik dogs barking but shops close by,climate chang and job loss,shop asistnt smild n said thankyou,"money, and boss apriciashun",pls fix typos in u r questions
60,Male,Secndary,1,No,33221,No,Single,Yes,67,green trees n cleen airr,healthcare getin worse,the ladie at bank was reely helpfull,my kidss and faimly,no commnts
35,Female,Tertary,2,Yes,22371,No,Widowd,Yes,39,noice is low and evryone frendly,healthcare getin worse,got discount witout askin,just need to suceed,this survery was long
41,Other,Primry,6,No,84399,No,Widowd,No,7,noice is low and evryone frendly,no money to save fo future,got discount witout askin,"money, and boss apriciashun",good luck with reserch
54,Other,Secndary,5,Yes,11121,Yes,Divorced,Yes,32,green trees n cleen airr,climate chang and job loss,i calld support they sloved fast,just need to suceed,this survery was long
30,Female,Secndary,1,Yes,73915,Yes,Single,No,79,i lik the quite and neghbours,no money to save fo future,great expiriense at restaurent,just need to suceed,good luck with reserch
54,Male,Primry,9,No,38235,No,Single,No,26,its saf and pecefull,no money to save fo future,great expiriense at restaurent,i lov my job and coworkers,no commnts
42,Female,Primry,3,No,85914,No,Single,Yes,18,green trees n cleen airr,healthcare getin worse,i calld support they sloved fast,i lov my job and coworkers,this survery was long
54,Female,Primry,8,Yes,50048,Yes,Widowd,No,26,its saf and pecefull,healthcare getin worse,the ladie at bank was reely helpfull,just need to suceed,thank u for lettin me say
27,Male,Primry,7,No,88571,Yes,Divorced,No,2,green trees n cleen airr,climate chang and job loss,shop asistnt smild n said thankyou,"goals keep me going, even when tired",pls fix typos in u r questions
51,Female,Tertary,9,Yes,43611,No,Divorced,Yes,58,its saf and pecefull,no money to save fo future,shop asistnt smild n said thankyou,just need to suceed,this survery was long
50,Male,Secndary,5,Yes,54977,Yes,Marrid,Yes,10,i lik the quite and neghbours,climate chang and job loss,great expiriense at restaurent,i lov my job and coworkers,this survery was long
34,Female,Secndary,5,Yes,16108,Yes,Divorced,Yes,68,i dnt lik dogs barking but shops close by,i worrie bout kids educasion,got discount witout askin,i lov my job and coworkers,no commnts
35,Other,Primry,7,Yes,51373,Yes,Divorced,No,26,green trees n cleen airr,climate chang and job loss,great expiriense at restaurent,i lov my job and coworkers,thank u for lettin me say
51,Male,Tertary,5,Yes,29698,Yes,Divorced,No,44,i dnt lik dogs barking but shops close by,war n unestability,the ladie at bank was reely helpfull,"money, and boss apriciashun",this survery was long
56,Male,Secndary,10,Yes,56572,Yes,Single,Yes,53,i dnt lik dogs barking but shops close by,no money to save fo future,the ladie at bank was reely helpfull,i lov my job and coworkers,no commnts
62,Other,Secndary,10,Yes,16017,No,Divorced,Yes,9,its saf and pecefull,healthcare getin worse,the ladie at bank was reely helpfull,my kidss and faimly,this survery was long
36,Male,Secndary,2,No,29096,Yes,Divorced,Yes,58,noice is low and evryone frendly,climate chang and job loss,i calld support they sloved fast,"goals keep me going, even when tired",pls fix typos in u r questions
21,Other,Secndary,9,No,69424,Yes,Divorced,Yes,70,its saf and pecefull,i worrie bout kids educasion,the ladie at bank was reely helpfull,just need to suceed,thank u for lettin me say
49,Male,Secndary,10,Yes,52122,No,Marrid,No,72,noice is low and evryone frendly,climate chang and job loss,i calld support they sloved fast,"money, and boss apriciashun",pls fix typos in u r questions
29,Male,Tertary,9,Yes,44591,No,Marrid,No,12,i lik the quite and neghbours,i worrie bout kids educasion,shop asistnt smild n said thankyou,just need to suceed,thank u for lettin me say
68,Male,Primry,7,No,58429,Yes,Marrid,Yes,32,i dnt lik dogs barking but shops close by,no money to save fo future,shop asistnt smild n said thankyou,"goals keep me going, even when tired",pls fix typos in u r questions
38,Male,Secndary,9,Yes,22386,No,Single,No,3,its saf and pecefull,i worrie bout kids educasion,shop asistnt smild n said thankyou,"money, and boss apriciashun",good luck with reserch
41,Other,Secndary,5,Yes,37103,Yes,Widowd,Yes,23,its saf and pecefull,no money to save fo future,got discount witout askin,just need to suceed,good luck with reserch
65,Other,Tertary,9,No,39120,No,Divorced,Yes,39,i lik the quite and neghbours,no money to save fo future,the ladie at bank was reely helpfull,i lov my job and coworkers,no commnts
23,Female,Primry,9,Yes,39389,Yes,Widowd,No,10,green trees n cleen airr,no money to save fo future,great expiriense at restaurent,"goals keep me going, even when tired",no commnts
65,Female,Secndary,4,No,69902,No,Marrid,No,23,i lik the quite and neghbours,i worrie bout kids educasion,great expiriense at restaurent,"money, and boss apriciashun",pls fix typos in u r questions
45,Other,Primry,10,Yes,84930,Yes,Widowd,Yes,42,i lik the quite and neghbours,war n unestability,i calld support they sloved fast,just need to suceed,no commnts
28,Female,Secndary,10,Yes,75425,Yes,Divorced,No,46,its saf and pecefull,i worrie bout kids educasion,shop asistnt smild n said thankyou,"money, and boss apriciashun",pls fix typos in u r questions
19,Male,Tertary,7,Yes,60073,Yes,Divorced,No,18,noice is low and evryone frendly,war n unestability,the ladie at bank was reely helpfull,my kidss and faimly,pls fix typos in u r questions
49,Female,Primry,3,No,96725,Yes,Widowd,No,9,its saf and pecefull,climate chang and job loss,got discount witout askin,"money, and boss apriciashun",pls fix typos in u r questions
25,Male,Secndary,8,No,90324,No,Marrid,No,53,i lik the quite and neghbours,no money to save fo future,got discount witout askin,just need to suceed,this survery was long
19,Male,Primry,3,No,13279,No,Widowd,No,13,green trees n cleen airr,climate chang and job loss,i calld support they sloved fast,"goals keep me going, even when tired",pls fix typos in u r questions
57,Female,Tertary,4,Yes,19166,Yes,Widowd,Yes,63,its saf and pecefull,i worrie bout kids educasion,i calld support they sloved fast,"goals keep me going, even when tired",this survery was long
58,Male,Primry,10,No,46968,Yes,Marrid,Yes,57,noice is low and evryone frendly,no money to save fo future,i calld support they sloved fast,just need to suceed,no commnts
41,Female,Tertary,7,Yes,72168,Yes,Single,No,78,noice is low and evryone frendly,no money to save fo future,great expiriense at restaurent,"money, and boss apriciashun",good luck with reserch
53,Other,Secndary,4,Yes,39537,No,Single,No,60,i dnt lik dogs barking but shops close by,war n unestability,got discount witout askin,"money, and boss apriciashun",thank u for lettin me say
65,Male,Tertary,9,No,11465,No,Widowd,No,77,i dnt lik dogs barking but shops close by,no money to save fo future,the ladie at bank was reely helpfull,my kidss and faimly,no commnts
64,Other,Secndary,1,No,49704,Yes,Widowd,Yes,66,its saf and pecefull,i worrie bout kids educasion,got discount witout askin,my kidss and faimly,pls fix typos in u r questions
53,Female,Secndary,3,Yes,37276,No,Divorced,Yes,65,its saf and pecefull,climate chang and job loss,got discount witout askin,i lov my job and coworkers,this survery was long
32,Female,Primry,1,Yes,69908,Yes,Divorced,Yes,70,green trees n cleen airr,war n unestability,great expiriense at restaurent,"money, and boss apriciashun",pls fix typos in u r questions
26,Other,Tertary,6,Yes,21766,Yes,Single,No,32,i lik the quite and neghbours,healthcare getin worse,the ladie at bank was reely helpfull,"goals keep me going, even when tired",this survery was long
30,Other,Secndary,6,Yes,91936,Yes,Widowd,No,10,noice is low and evryone frendly,i worrie bout kids educasion,shop asistnt smild n said thankyou,"money, and boss apriciashun",no commnts
58,Male,Primry,1,No,68597,No,Marrid,Yes,20,green trees n cleen airr,no money to save fo future,the ladie at bank was reely helpfull,my kidss and faimly,good luck with reserch
29,Female,Tertary,9,No,94114,No,Marrid,Yes,42,i dnt lik dogs barking but shops close by,i worrie bout kids educasion,shop asistnt smild n said thankyou,just need to suceed,pls fix typos in u r questions
66,Female,Secndary,8,Yes,36981,Yes,Widowd,No,47,green trees n cleen airr,no money to save fo future,shop asistnt smild n said thankyou,just need to suceed,thank u for lettin me say
63,Other,Secndary,8,Yes,28021,Yes,Marrid,No,64,i lik the quite and neghbours,climate chang and job loss,i calld support they sloved fast,my kidss and faimly,this survery was long
65,Female,Secndary,2,No,36867,No,Widowd,Yes,17,i dnt lik dogs barking but shops close by,no money to save fo future,great expiriense at restaurent,"goals keep me going, even when tired",good luck with reserch
59,Other,Primry,5,No,44728,No,Marrid,Yes,36,i lik the quite and neghbours,war n unestability,shop asistnt smild n said thankyou,"goals keep me going, even when tired",this survery was long
69,Male,Tertary,9,No,49060,No,Marrid,No,34,noice is low and evryone frendly,i worrie bout kids educasion,got discount witout askin,i lov my job and coworkers,this survery was long
58,Other,Primry,4,Yes,71618,No,Divorced,No,50,i lik the quite and neghbours,climate chang and job loss,the ladie at bank was reely helpfull,just need to suceed,this survery was long
29,Other,Secndary,4,No,50494,Yes,Single,Yes,70,noice is low and evryone frendly,climate chang and job loss,great expiriense at restaurent,"money, and boss apriciashun",this survery was long
28,Female,Primry,4,No,93726,Yes,Marrid,No,1,i lik the quite and neghbours,no money to save fo future,shop asistnt smild n said thankyou,"money, and boss apriciashun",pls fix typos in u r questions
31,Female,Tertary,5,Yes,19222,No,Single,No,10,green trees n cleen airr,climate chang and job loss,great expiriense at restaurent,"goals keep me going, even when tired",no commnts
21,Female,Secndary,8,No,49156,Yes,Divorced,Yes,75,green trees n cleen airr,no money to save fo future,great expiriense at restaurent,just need to suceed,thank u for lettin me say
27,Male,Primry,8,Yes,42341,No,Divorced,No,52,green trees n cleen airr,no money to save fo future,i calld support they sloved fast,just need to suceed,good luck with reserch
41,Other,Secndary,8,No,33940,No,Single,Yes,7,i lik the quite and neghbours,no money to save fo future,shop asistnt smild n said thankyou,"money, and boss apriciashun",good luck with reserch
62,Male,Primry,4,Yes,66908,Yes,Divorced,No,36,green trees n cleen airr,climate chang and job loss,shop asistnt smild n said thankyou,i lov my job and coworkers,pls fix typos in u r questions
55,Male,Secndary,9,Yes,84612,Yes,Divorced,No,15,i lik the quite and neghbours,i worrie bout kids educasion,great expiriense at restaurent,i lov my job and coworkers,this survery was long
66,Male,Primry,3,No,49046,Yes,Marrid,No,42,green trees n cleen airr,healthcare getin worse,the ladie at bank was reely helpfull,my kidss and faimly,good luck with reserch
34,Male,Tertary,4,Yes,54451,Yes,Single,Yes,14,noice is low and evryone frendly,no money to save fo future,got discount witout askin,"money, and boss apriciashun",this survery was long
65,Male,Primry,2,No,51260,No,Divorced,No,3,green trees n cleen airr,war n unestability,got discount witout askin,just need to suceed,this survery was long
34,Other,Secndary,4,Yes,98122,Yes,Marrid,No,6,green trees n cleen airr,climate chang and job loss,got discount witout askin,"money, and boss apriciashun",no commnts
33,Male,Secndary,6,No,17031,Yes,Widowd,Yes,10,noice is low and evryone frendly,healthcare getin worse,i calld support they sloved fast,my kidss and faimly,pls fix typos in u r questions
62,Male,Tertary,5,No,82764,Yes,Marrid,Yes,22,i dnt lik dogs barking but shops close by,healthcare getin worse,the ladie at bank was reely helpfull,i lov my job and coworkers,good luck with reserch
26,Other,Secndary,8,No,32808,Yes,Marrid,No,33,i lik the quite and neghbours,no money to save fo future,the ladie at bank was reely helpfull,just need to suceed,thank u for lettin me say
57,Male,Secndary,7,No,33381,Yes,Widowd,Yes,33,its saf and pecefull,climate chang and job loss,i calld support they sloved fast,"goals keep me going, even when tired",pls fix typos in u r questions
59,Other,Primry,2,No,78084,Yes,Divorced,No,21,noice is low and evryone frendly,no money to save fo future,i calld support they sloved fast,just need to suceed,pls fix typos in u r questions
28,Female,Tertary,8,No,63854,No,Marrid,No,53,i dnt lik dogs barking but shops close by,no money to save fo future,got discount witout askin,"goals keep me going, even when tired",pls fix typos in u r questions
67,Female,Secndary,6,No,98266,No,Widowd,No,57,its saf and pecefull,healthcare getin worse,great expiriense at restaurent,just need to suceed,pls fix typos in u r questions
56,Female,Secndary,10,No,71645,Yes,Divorced,No,26,i lik the quite and neghbours,healthcare getin worse,great expiriense at restaurent,"goals keep me going, even when tired",pls fix typos in u r questions
31,Female,Primry,3,Yes,56245,Yes,Divorced,No,35,its saf and pecefull,war n unestability,shop asistnt smild n said thankyou,just need to suceed,no commnts
68,Male,Secndary,10,Yes,58144,No,Divorced,Yes,56,noice is low and evryone frendly,no money to save fo future,i calld support they sloved fast,my kidss and faimly,thank u for lettin me say
48,Other,Tertary,7,Yes,35759,Yes,Widowd,Yes,20,i dnt lik dogs barking but shops close by,no money to save fo future,got discount witout askin,my kidss and faimly,no commnts
56,Male,Secndary,10,Yes,28634,Yes,Marrid,Yes,29,i lik the quite and neghbours,healthcare getin worse,got discount witout askin,"goals keep me going, even when tired",this survery was long
28,Female,Secndary,3,Yes,83772,Yes,Single,No,67,i lik the quite and neghbours,climate chang and job loss,shop asistnt smild n said thankyou,i lov my job and coworkers,thank u for lettin me say
34,Male,Tertary,6,Yes,65073,Yes,Single,Yes,14,i dnt lik dogs barking but shops close by,healthcare getin worse,i calld support they sloved fast,"goals keep me going, even when tired",thank u for lettin me say
23,Female,Tertary,7,No,60729,No,Widowd,Yes,73,noice is low and evryone frendly,war n unestability,i calld support they sloved fast,i lov my job and coworkers,no commnts
36,Female,Tertary,10,No,70949,No,Widowd,Yes,42,its saf and pecefull,climate chang and job loss,great expiriense at restaurent,just need to suceed,pls fix typos in u r questions
46,Other,Secndary,9,Yes,72277,Yes,Widowd,Yes,19,i lik the quite and neghbours,no money to save fo future,i calld support they sloved fast,my kidss and faimly,thank u for lettin me say
