Q1_Age,Q2_Gender,Q3_Education,Q4_LifeSatisfaction,Q5_CarOwnership,Q6_IncomeLevel,Q7_Employed,Q8_MaritalStatus,Q9_HomeOwner,Q10_HoursWorkedPerWeek,Q11_OE_Neighborhood,Q12_OE_FutureConcerns,Q13_OE_CustomerExperience,Q14_OE_WorkMotivation,Q15_OE_AdditionalComments,Neighborhood_Sentiment,FutureConcern_Sentiment
57,Male,Primary,4,Yes,59766,No,Divorced,Yes,16,i dnt lik dogs barking but shops close by,war n unestability,i calld support they sloved fast,"goals keep me going, even when tired",pls fix typos in u r questions,0.0,0.0
21,Female,Secondary,7,No,15103,No,Married,Yes,13,i lik the quite and neghbours,war n unestability,the ladie at bank was reely helpfull,"goals keep me going, even when tired",no commnts,0.0,0.0
55,Male,Primary,9,Yes,93757,No,Divorced,No,41,green trees n cleen airr,i worrie bout kids educasion,the ladie at bank was reely helpfull,"money, and boss apriciashun",good luck with reserch,-0.2,0.0
45,Other,Primary,2,Yes,65419,Yes,Single,No,13,noice is low and evryone frendly,i worrie bout kids educasion,great expiriense at restaurent,i lov my job and coworkers,good luck with reserch,0.0,0.0
26,Female,Secondary,7,No,69006,No,Widowed,Yes,25,i lik the quite and neghbours,climate chang and job loss,the ladie at bank was reely helpfull,"goals keep me going, even when tired",no commnts,0.0,0.0
51,Female,Primary,7,Yes,81995,No,Divorced,No,6,i lik the quite and neghbours,i worrie bout kids educasion,the ladie at bank was reely helpfull,"goals keep me going, even when tired",good luck with reserch,0.0,0.0
25,Other,Secondary,1,No,61134,Yes,Widowed,Yes,77,green trees n cleen airr,i worrie bout kids educasion,got discount witout askin,my kidss and faimly,good luck with reserch,-0.2,0.0
22,Female,Primary,3,Yes,29524,Yes,Married,No,24,i dnt lik dogs barking but shops close by,i worrie bout kids educasion,the ladie at bank was reely helpfull,"money, and boss apriciashun",no commnts,0.0,0.0
62,Other,Primary,5,No,40442,Yes,Single,Yes,42,i lik the quite and neghbours,healthcare getin worse,i calld support they sloved fast,my kidss and faimly,this survery was long,0.0,-0.4
34,Other,Primary,5,No,42629,Yes,Widowed,Yes,70,i lik the quite and neghbours,healthcare getin worse,shop asistnt smild n said thankyou,"money, and boss apriciashun",pls fix typos in u r questions,0.0,-0.4
63,Male,Primary,2,No,62526,No,Single,Yes,54,noice is low and evryone frendly,climate chang and job loss,shop asistnt smild n said thankyou,just need to suceed,thank u for lettin me say,0.0,0.0
33,Other,Secondary,6,No,19949,No,Widowed,No,67,noice is low and evryone frendly,climate chang and job loss,the ladie at bank was reely helpfull,just need to suceed,no commnts,0.0,0.0
20,Other,Secondary,8,Yes,44227,Yes,Married,No,57,its saf and pecefull,war n unestability,shop asistnt smild n said thankyou,"money, and boss apriciashun",this survery was long,0.0,0.0
35,Other,Tertiary,1,Yes,76785,No,Widowed,Yes,16,i dnt lik dogs barking but shops close by,no money to save fo future,got discount witout askin,"goals keep me going, even when tired",thank u for lettin me say,0.0,0.0
19,Female,Tertiary,4,No,51628,No,Married,Yes,40,i dnt lik dogs barking but shops close by,climate chang and job loss,i calld support they sloved fast,my kidss and faimly,thank u for lettin me say,0.0,0.0
54,Female,Secondary,1,No,93811,No,Single,Yes,46,i lik the quite and neghbours,climate chang and job loss,i calld support they sloved fast,just need to suceed,this survery was long,0.0,0.0
18,Other,Primary,5,Yes,12007,Yes,Widowed,Yes,40,noice is low and evryone frendly,healthcare getin worse,shop asistnt smild n said thankyou,just need to suceed,good luck with reserch,0.0,-0.4
45,Other,Secondary,7,No,25198,No,Married,No,25,i lik the quite and neghbours,war n unestability,the ladie at bank was reely helpfull,"goals keep me going, even when tired",no commnts,0.0,0.0
44,Female,Primary,1,No,84496,Yes,Married,No,67,i lik the quite and neghbours,i worrie bout kids educasion,got discount witout askin,my kidss and faimly,pls fix typos in u r questions,0.0,0.0
27,Male,Secondary,1,No,69930,Yes,Widowed,No,41,i lik the quite and neghbours,climate chang and job loss,the ladie at bank was reely helpfull,my kidss and faimly,pls fix typos in u r questions,0.0,0.0
42,Male,Secondary,7,Yes,33533,No,Married,No,28,its saf and pecefull,war n unestability,great expiriense at restaurent,"goals keep me going, even when tired",this survery was long,0.0,0.0
63,Other,Tertiary,7,No,98064,Yes,Divorced,No,62,i lik the quite and neghbours,healthcare getin worse,got discount witout askin,just need to suceed,no commnts,0.0,-0.4
32,Male,Secondary,10,No,92864,Yes,Married,No,60,green trees n cleen airr,no money to save fo future,shop asistnt smild n said thankyou,i lov my job and coworkers,thank u for lettin me say,-0.2,0.0
60,Other,Secondary,4,Yes,32229,Yes,Divorced,No,43,i lik the quite and neghbours,healthcare getin worse,got discount witout askin,"money, and boss apriciashun",good luck with reserch,0.0,-0.4
45,Male,Primary,6,No,49537,Yes,Widowed,No,47,i lik the quite and neghbours,healthcare getin worse,i calld support they sloved fast,"goals keep me going, even when tired",pls fix typos in u r questions,0.0,-0.4
41,Other,Tertiary,4,No,21603,No,Married,No,27,green trees n cleen airr,no money to save fo future,the ladie at bank was reely helpfull,i lov my job and coworkers,this survery was long,-0.2,0.0
43,Other,Tertiary,4,No,37825,Yes,Divorced,Yes,16,i dnt lik dogs barking but shops close by,healthcare getin worse,got discount witout askin,"goals keep me going, even when tired",thank u for lettin me say,0.0,-0.4
63,Other,Tertiary,6,Yes,69146,Yes,Married,No,78,noice is low and evryone frendly,i worrie bout kids educasion,got discount witout askin,my kidss and faimly,thank u for lettin me say,0.0,0.0
25,Other,Primary,5,No,46359,Yes,Single,Yes,30,i dnt lik dogs barking but shops close by,no money to save fo future,got discount witout askin,just need to suceed,this survery was long,0.0,0.0
40,Female,Secondary,6,Yes,92550,No,Widowed,Yes,48,green trees n cleen airr,no money to save fo future,shop asistnt smild n said thankyou,just need to suceed,no commnts,-0.2,0.0
66,Female,Secondary,10,Yes,35509,Yes,Single,Yes,37,i lik the quite and neghbours,climate chang and job loss,the ladie at bank was reely helpfull,just need to suceed,this survery was long,0.0,0.0
31,Male,Secondary,7,No,65794,Yes,Widowed,No,28,noice is low and evryone frendly,war n unestability,the ladie at bank was reely helpfull,"money, and boss apriciashun",this survery was long,0.0,0.0
53,Other,Secondary,2,Yes,23964,No,Married,Yes,77,noice is low and evryone frendly,healthcare getin worse,great expiriense at restaurent,"money, and boss apriciashun",good luck with reserch,0.0,-0.4
25,Female,Secondary,5,No,68360,No,Divorced,No,59,i dnt lik dogs barking but shops close by,war n unestability,got discount witout askin,i lov my job and coworkers,good luck with reserch,0.0,0.0
34,Female,Secondary,4,No,99631,Yes,Divorced,Yes,32,i dnt lik dogs barking but shops close by,climate chang and job loss,shop asistnt smild n said thankyou,"money, and boss apriciashun",pls fix typos in u r questions,0.0,0.0
60,Male,Secondary,1,No,33221,No,Single,Yes,67,green trees n cleen airr,healthcare getin worse,the ladie at bank was reely helpfull,my kidss and faimly,no commnts,-0.2,-0.4
35,Female,Tertiary,2,Yes,22371,No,Widowed,Yes,39,noice is low and evryone frendly,healthcare getin worse,got discount witout askin,just need to suceed,this survery was long,0.0,-0.4
41,Other,Primary,6,No,84399,No,Widowed,No,7,noice is low and evryone frendly,no money to save fo future,got discount witout askin,"money, and boss apriciashun",good luck with reserch,0.0,0.0
54,Other,Secondary,5,Yes,11121,Yes,Divorced,Yes,32,green trees n cleen airr,climate chang and job loss,i calld support they sloved fast,just need to suceed,this survery was long,-0.2,0.0
30,Female,Secondary,1,Yes,73915,Yes,Single,No,79,i lik the quite and neghbours,no money to save fo future,great expiriense at restaurent,just need to suceed,good luck with reserch,0.0,0.0
54,Male,Primary,9,No,38235,No,Single,No,26,its saf and pecefull,no money to save fo future,great expiriense at restaurent,i lov my job and coworkers,no commnts,0.0,0.0
42,Female,Primary,3,No,85914,No,Single,Yes,18,green trees n cleen airr,healthcare getin worse,i calld support they sloved fast,i lov my job and coworkers,this survery was long,-0.2,-0.4
54,Female,Primary,8,Yes,50048,Yes,Widowed,No,26,its saf and pecefull,healthcare getin worse,the ladie at bank was reely helpfull,just need to suceed,thank u for lettin me say,0.0,-0.4
27,Male,Primary,7,No,88571,Yes,Divorced,No,2,green trees n cleen airr,climate chang and job loss,shop asistnt smild n said thankyou,"goals keep me going, even when tired",pls fix typos in u r questions,-0.2,0.0
51,Female,Tertiary,9,Yes,43611,No,Divorced,Yes,58,its saf and pecefull,no money to save fo future,shop asistnt smild n said thankyou,just need to suceed,this survery was long,0.0,0.0
50,Male,Secondary,5,Yes,54977,Yes,Married,Yes,10,i lik the quite and neghbours,climate chang and job loss,great expiriense at restaurent,i lov my job and coworkers,this survery was long,0.0,0.0
34,Female,Secondary,5,Yes,16108,Yes,Divorced,Yes,68,i dnt lik dogs barking but shops close by,i worrie bout kids educasion,got discount witout askin,i lov my job and coworkers,no commnts,0.0,0.0
35,Other,Primary,7,Yes,51373,Yes,Divorced,No,26,green trees n cleen airr,climate chang and job loss,great expiriense at restaurent,i lov my job and coworkers,thank u for lettin me say,-0.2,0.0
51,Male,Tertiary,5,Yes,29698,Yes,Divorced,No,44,i dnt lik dogs barking but shops close by,war n unestability,the ladie at bank was reely helpfull,"money, and boss apriciashun",this survery was long,0.0,0.0
56,Male,Secondary,10,Yes,56572,Yes,Single,Yes,53,i dnt lik dogs barking but shops close by,no money to save fo future,the ladie at bank was reely helpfull,i lov my job and coworkers,no commnts,0.0,0.0
62,Other,Secondary,10,Yes,16017,No,Divorced,Yes,9,its saf and pecefull,healthcare getin worse,the ladie at bank was reely helpfull,my kidss and faimly,this survery was long,0.0,-0.4
36,Male,Secondary,2,No,29096,Yes,Divorced,Yes,58,noice is low and evryone frendly,climate chang and job loss,i calld support they sloved fast,"goals keep me going, even when tired",pls fix typos in u r questions,0.0,0.0
21,Other,Secondary,9,No,69424,Yes,Divorced,Yes,70,its saf and pecefull,i worrie bout kids educasion,the ladie at bank was reely helpfull,just need to suceed,thank u for lettin me say,0.0,0.0
49,Male,Secondary,10,Yes,52122,No,Married,No,72,noice is low and evryone frendly,climate chang and job loss,i calld support they sloved fast,"money, and boss apriciashun",pls fix typos in u r questions,0.0,0.0
29,Male,Tertiary,9,Yes,44591,No,Married,No,12,i lik the quite and neghbours,i worrie bout kids educasion,shop asistnt smild n said thankyou,just need to suceed,thank u for lettin me say,0.0,0.0
68,Male,Primary,7,No,58429,Yes,Married,Yes,32,i dnt lik dogs barking but shops close by,no money to save fo future,shop asistnt smild n said thankyou,"goals keep me going, even when tired",pls fix typos in u r questions,0.0,0.0
38,Male,Secondary,9,Yes,22386,No,Single,No,3,its saf and pecefull,i worrie bout kids educasion,shop asistnt smild n said thankyou,"money, and boss apriciashun",good luck with reserch,0.0,0.0
41,Other,Secondary,5,Yes,37103,Yes,Widowed,Yes,23,its saf and pecefull,no money to save fo future,got discount witout askin,just need to suceed,good luck with reserch,0.0,0.0
65,Other,Tertiary,9,No,39120,No,Divorced,Yes,39,i lik the quite and neghbours,no money to save fo future,the ladie at bank was reely helpfull,i lov my job and coworkers,no commnts,0.0,0.0
23,Female,Primary,9,Yes,39389,Yes,Widowed,No,10,green trees n cleen airr,no money to save fo future,great expiriense at restaurent,"goals keep me going, even when tired",no commnts,-0.2,0.0
65,Female,Secondary,4,No,69902,No,Married,No,23,i lik the quite and neghbours,i worrie bout kids educasion,great expiriense at restaurent,"money, and boss apriciashun",pls fix typos in u r questions,0.0,0.0
45,Other,Primary,10,Yes,84930,Yes,Widowed,Yes,42,i lik the quite and neghbours,war n unestability,i calld support they sloved fast,just need to suceed,no commnts,0.0,0.0
28,Female,Secondary,10,Yes,75425,Yes,Divorced,No,46,its saf and pecefull,i worrie bout kids educasion,shop asistnt smild n said thankyou,"money, and boss apriciashun",pls fix typos in u r questions,0.0,0.0
19,Male,Tertiary,7,Yes,60073,Yes,Divorced,No,18,noice is low and evryone frendly,war n unestability,the ladie at bank was reely helpfull,my kidss and faimly,pls fix typos in u r questions,0.0,0.0
49,Female,Primary,3,No,96725,Yes,Widowed,No,9,its saf and pecefull,climate chang and job loss,got discount witout askin,"money, and boss apriciashun",pls fix typos in u r questions,0.0,0.0
25,Male,Secondary,8,No,90324,No,Married,No,53,i lik the quite and neghbours,no money to save fo future,got discount witout askin,just need to suceed,this survery was long,0.0,0.0
19,Male,Primary,3,No,13279,No,Widowed,No,13,green trees n cleen airr,climate chang and job loss,i calld support they sloved fast,"goals keep me going, even when tired",pls fix typos in u r questions,-0.2,0.0
57,Female,Tertiary,4,Yes,19166,Yes,Widowed,Yes,63,its saf and pecefull,i worrie bout kids educasion,i calld support they sloved fast,"goals keep me going, even when tired",this survery was long,0.0,0.0
58,Male,Primary,10,No,46968,Yes,Married,Yes,57,noice is low and evryone frendly,no money to save fo future,i calld support they sloved fast,just need to suceed,no commnts,0.0,0.0
41,Female,Tertiary,7,Yes,72168,Yes,Single,No,78,noice is low and evryone frendly,no money to save fo future,great expiriense at restaurent,"money, and boss apriciashun",good luck with reserch,0.0,0.0
53,Other,Secondary,4,Yes,39537,No,Single,No,60,i dnt lik dogs barking but shops close by,war n unestability,got discount witout askin,"money, and boss apriciashun",thank u for lettin me say,0.0,0.0
65,Male,Tertiary,9,No,11465,No,Widowed,No,77,i dnt lik dogs barking but shops close by,no money to save fo future,the ladie at bank was reely helpfull,my kidss and faimly,no commnts,0.0,0.0
64,Other,Secondary,1,No,49704,Yes,Widowed,Yes,66,its saf and pecefull,i worrie bout kids educasion,got discount witout askin,my kidss and faimly,pls fix typos in u r questions,0.0,0.0
53,Female,Secondary,3,Yes,37276,No,Divorced,Yes,65,its saf and pecefull,climate chang and job loss,got discount witout askin,i lov my job and coworkers,this survery was long,0.0,0.0
32,Female,Primary,1,Yes,69908,Yes,Divorced,Yes,70,green trees n cleen airr,war n unestability,great expiriense at restaurent,"money, and boss apriciashun",pls fix typos in u r questions,-0.2,0.0
26,Other,Tertiary,6,Yes,21766,Yes,Single,No,32,i lik the quite and neghbours,healthcare getin worse,the ladie at bank was reely helpfull,"goals keep me going, even when tired",this survery was long,0.0,-0.4
30,Other,Secondary,6,Yes,91936,Yes,Widowed,No,10,noice is low and evryone frendly,i worrie bout kids educasion,shop asistnt smild n said thankyou,"money, and boss apriciashun",no commnts,0.0,0.0
58,Male,Primary,1,No,68597,No,Married,Yes,20,green trees n cleen airr,no money to save fo future,the ladie at bank was reely helpfull,my kidss and faimly,good luck with reserch,-0.2,0.0
29,Female,Tertiary,9,No,94114,No,Married,Yes,42,i dnt lik dogs barking but shops close by,i worrie bout kids educasion,shop asistnt smild n said thankyou,just need to suceed,pls fix typos in u r questions,0.0,0.0
66,Female,Secondary,8,Yes,36981,Yes,Widowed,No,47,green trees n cleen airr,no money to save fo future,shop asistnt smild n said thankyou,just need to suceed,thank u for lettin me say,-0.2,0.0
63,Other,Secondary,8,Yes,28021,Yes,Married,No,64,i lik the quite and neghbours,climate chang and job loss,i calld support they sloved fast,my kidss and faimly,this survery was long,0.0,0.0
65,Female,Secondary,2,No,36867,No,Widowed,Yes,17,i dnt lik dogs barking but shops close by,no money to save fo future,great expiriense at restaurent,"goals keep me going, even when tired",good luck with reserch,0.0,0.0
59,Other,Primary,5,No,44728,No,Married,Yes,36,i lik the quite and neghbours,war n unestability,shop asistnt smild n said thankyou,"goals keep me going, even when tired",this survery was long,0.0,0.0
69,Male,Tertiary,9,No,49060,No,Married,No,34,noice is low and evryone frendly,i worrie bout kids educasion,got discount witout askin,i lov my job and coworkers,this survery was long,0.0,0.0
58,Other,Primary,4,Yes,71618,No,Divorced,No,50,i lik the quite and neghbours,climate chang and job loss,the ladie at bank was reely helpfull,just need to suceed,this survery was long,0.0,0.0
29,Other,Secondary,4,No,50494,Yes,Single,Yes,70,noice is low and evryone frendly,climate chang and job loss,great expiriense at restaurent,"money, and boss apriciashun",this survery was long,0.0,0.0
28,Female,Primary,4,No,93726,Yes,Married,No,1,i lik the quite and neghbours,no money to save fo future,shop asistnt smild n said thankyou,"money, and boss apriciashun",pls fix typos in u r questions,0.0,0.0
31,Female,Tertiary,5,Yes,19222,No,Single,No,10,green trees n cleen airr,climate chang and job loss,great expiriense at restaurent,"goals keep me going, even when tired",no commnts,-0.2,0.0
21,Female,Secondary,8,No,49156,Yes,Divorced,Yes,75,green trees n cleen airr,no money to save fo future,great expiriense at restaurent,just need to suceed,thank u for lettin me say,-0.2,0.0
27,Male,Primary,8,Yes,42341,No,Divorced,No,52,green trees n cleen airr,no money to save fo future,i calld support they sloved fast,just need to suceed,good luck with reserch,-0.2,0.0
41,Other,Secondary,8,No,33940,No,Single,Yes,7,i lik the quite and neghbours,no money to save fo future,shop asistnt smild n said thankyou,"money, and boss apriciashun",good luck with reserch,0.0,0.0
62,Male,Primary,4,Yes,66908,Yes,Divorced,No,36,green trees n cleen airr,climate chang and job loss,shop asistnt smild n said thankyou,i lov my job and coworkers,pls fix typos in u r questions,-0.2,0.0
55,Male,Secondary,9,Yes,84612,Yes,Divorced,No,15,i lik the quite and neghbours,i worrie bout kids educasion,great expiriense at restaurent,i lov my job and coworkers,this survery was long,0.0,0.0
66,Male,Primary,3,No,49046,Yes,Married,No,42,green trees n cleen airr,healthcare getin worse,the ladie at bank was reely helpfull,my kidss and faimly,good luck with reserch,-0.2,-0.4
34,Male,Tertiary,4,Yes,54451,Yes,Single,Yes,14,noice is low and evryone frendly,no money to save fo future,got discount witout askin,"money, and boss apriciashun",this survery was long,0.0,0.0
65,Male,Primary,2,No,51260,No,Divorced,No,3,green trees n cleen airr,war n unestability,got discount witout askin,just need to suceed,this survery was long,-0.2,0.0
34,Other,Secondary,4,Yes,98122,Yes,Married,No,6,green trees n cleen airr,climate chang and job loss,got discount witout askin,"money, and boss apriciashun",no commnts,-0.2,0.0
33,Male,Secondary,6,No,17031,Yes,Widowed,Yes,10,noice is low and evryone frendly,healthcare getin worse,i calld support they sloved fast,my kidss and faimly,pls fix typos in u r questions,0.0,-0.4
